module	verdict	reason	sources	nodes	outputs	flops	mems	inputs	check_ms	step1_ms	run_ms	cycles	wall_s	rss_kb	path
txfma_4_2_compressor_array	ACCEPTED		3480	4048	2	0	0	4	52	195	791	4	29.3	1069468	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_4_2_compressor_array_Lgraph.lean
txfma_align_shf	ACCEPTED		4	3	1	0	0	2	1	1	2	4	1.3	472188	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_align_shf_Lgraph.lean
txfma_booth_ppg_32r4	ACCEPTED		1828	2092	19	0	0	4	30	103	384	4	11.2	792844	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/txfma_booth_ppg_32r4_Lgraph.lean
txfma_booth_ppg_32r4_msb	ACCEPTED		10	11	1	0	0	3	1	1	1	4	1.7	473288	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_booth_ppg_32r4_msb_Lgraph.lean
txfma_booth_ppg_32r4_norm	ACCEPTED		36	45	1	0	0	3	1	2	8	4	1.6	481548	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/txfma_booth_ppg_32r4_norm_Lgraph.lean
txfma_c0	ACCEPTED		2268	2902	91	11	0	56	73	93	225	4	16.2	906532	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_c0_Lgraph.lean
txfma_c1	ACCEPTED		156	178	16	0	0	16	7	9	22	4	2.5	498220	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_c1_Lgraph.lean
txfma_c2	ACCEPTED		1606	1785	47	0	0	24	37	73	184	4	9.9	751196	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_c2_Lgraph.lean
txfma_c3	ACCEPTED		1895	2030	15	0	0	44	61	80	154	4	10.1	780512	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_c3_Lgraph.lean
txfma_c4	ACCEPTED		270	303	8	0	0	10	10	10	23	4	2.4	519392	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_c4_Lgraph.lean
txfma_c5	ACCEPTED		526	601	22	0	0	19	19	26	59	4	3.5	573120	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_c5_Lgraph.lean
txfma_c6	ACCEPTED		1028	1320	46	0	0	61	42	45	58	4	7.8	668408	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_c6_Lgraph.lean
txfma_csa	ACCEPTED		17	21	2	0	0	3	1	1	2	4	1.5	475492	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_csa_Lgraph.lean
txfma_e1	ACCEPTED		421	489	8	0	0	16	17	17	42	4	2.6	545900	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_e1_Lgraph.lean
txfma_e2	ACCEPTED		2017	2161	16	0	0	19	39	46	146	4	11.9	799744	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_e2_Lgraph.lean
txfma_e4	ACCEPTED		4	3	1	0	0	2	0	1	0	4	1.6	472148	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_e4_Lgraph.lean
txfma_e6	ACCEPTED		115	133	10	0	0	6	4	4	9	4	2.1	489824	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_e6_Lgraph.lean
txfma_ediff_opdorder_logic	ACCEPTED		1397	1445	7	0	0	8	31	18	61	4	8.1	690284	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_ediff_opdorder_logic_Lgraph.lean
txfma_exp_special_detect	ACCEPTED		246	360	10	0	0	8	10	15	32	4	2.6	531400	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_exp_special_detect_Lgraph.lean
txfma_f1	ACCEPTED		11483	13840	15	31	0	8	180	447	1751	4	208.5	2528084	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/txfma_f1_Lgraph.lean
txfma_f4	ACCEPTED		3114	4028	5	6	0	13	57	130	465	4	25.1	1108552	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_f4_Lgraph.lean
txfma_frac_zero_detect	ACCEPTED		3	4	1	0	0	1	0	0	1	4	1.3	472912	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_frac_zero_detect_Lgraph.lean
txfma_lxd	ACCEPTED		1948	2659	1	0	0	3	32	65	260	4	11.8	869076	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_lxd_Lgraph.lean
txfma_norm_shf	ACCEPTED		17	19	1	0	0	2	1	1	4	4	1.5	475516	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_norm_shf_Lgraph.lean
